,review_body,review_date,hotelName,hotelUrl
0,"The area is where the most famous sightseeing of Singapore is allocated. You can sit on the rooftop of the hotel having drinks or visiting the restaurant, spoil yourself with the luxury shopping in the mall, or sit on the bay. At 20:00 there is Fontaine show. Skyscrapers at night look so elegant. Really nice place to visit","July 13, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
1,"Too brazen, too brash, too bold.Excellent facilities and amenities but soulless in service and atmosphere.The infamous pool is a human aquarium entirely devoted to the selfie.To pout or not to pout ...","July 12, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
2,"The hotel itself is fairly standard, nothing particularly outstanding besides the rooftop infinity pool. From the outset, there were mixed feelings about the whole experience, the bell boys on arrival are so rushed and over worked that we had to drag our bags to to check in after 16 hours of flying and arriving into 35 degree soaring heat, the check in experience itself is hectic and feels like you are at an airport and results in reaching the counter and the usual form filling (I don't know why in this day and age we still do this, why can this not be done in advance - especially at a 'top hotel'). Once the room was allocated things did improve, the room was pleasant but again without being anything special it had everything you'd expect but nothing wowed.As mentioned in the title, the real highlight of this hotel was the infinity pool, amazing views over Singapore with a long pool across the whole 57th floor, also at the back of this floor, there are a few jacuzzi's which overlook the Gardens by the Bay which is great at night. In summary, if you want a 5 star experience stay elsewhere, if you want to pay for the rooftop pool picture stay at MBS.","July 11, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
3,expensive yes. life time experience YES YES YES. amazing place. we were upgraded to a suite for free. amazing experience. great rooms. out of this world pool. this place should be on the bucket list for anyone :),"July 11, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
4,"We stayed at both Marina Bay Sands and Fullerton Hotel on the same trip, and wish we had stayed at the Fullerton the entire time instead. The MBS is nice if you like the Vegas type of experience. One night would've been enough for me, just to check it off the bucket list. Like many other reviews said, the infinity pool was a zoo with everyone and their selfie sticks. If you're looking for a true ""luxury"" experience with charm and quality service, I'd recommend staying at the Fullerton Hotel.A side note on the coffee, MBS had those instant coffee packs (see photo) and a hot pot. I don't need anything fancy like a Nespresso machine (which the Fullerton has), but having real coffee in the room would've been nice.","July 10, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
5,"We stayed at a night at Marina Bay Hotel to gain access to infinity pool because otherwise you can't reach. It's a very nice hotel, with spacious rooms, diversified breakfast and friendly people.A very good hotel","July 9, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
6,"I stayed at the Marina Bay Sands hotel last week, and found it to be an excellent place to stay, with all the key amenities I needed for a very busy business trip. Staff were always efficient, friendly and helpful and great dining facilities at the hotel. Marina Bay is definitely my preferred hotel for my next trip to Singapore","July 9, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
7,"We had been here to enjoy Sky bar on rooftop. Wow, that's an amazing view indeed, The miniature picture of the beautiful city that will be easily fit in your camera when standing here. Visiting fee for checking-in view from rooftop bar about $22/ person. Crowds of people who coming to enjoy this place, so that we would have to waiting in line to go up and get available table as well , nice experience","July 8, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
8,"A guy in the very busy reception greeted me and took us to the vip check in which was very good. Room 767 next to the Expressway and unbelievably noisy, all this for over £400, the worse nights sleep I ever had at a ridulous price.","July 8, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
9,Visited the hotel. Went to bar for a drink and for the view. Staff at the ground entry were rude and couldn’t give a toss. Stood waiting for acknowledgement but the young lass was to busy texting. Unfortunately a common occurrence now in Singapore. Drinks ok but again service poor. As mentioned previously it appears now the current generation of young workers are more interested in their status than their jobs. I have been to Singapore many times so noticed a significant difference to previous visits. ,"July 8, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
10,"I have stayed in MBS two times now and it is incredible. The first time I stayed in a room on the 39th floor facing stunning city views. The rooms are exceptionally clean and I was very impressed by the folded towels that would resemble different animals such as Elephants, Swans and Crabs. It was very creative and I appreciated the excellent room service. The views from the infinity pool are breath taking and I would encourage anyone who is planning to visit Singapore to experience viewing the city skyline from the top of this beautiful hotel. The pool is very clean and there is plenty of space to take pictures without it being overcrowded. On our second visit we stayed in a room facing Gardens by the Bay, and it did not disappoint! Again, their was nothing to fault with our room and we had a balcony this time which was amazing for watching the to the huge ships sail past during the day and the Gardens by the bay light show at night. Some people might be put off by the price but I feel that it is worth every penny. Excellent service, clean Rooms, comfortable beds, outstanding views from the infinity pool, amazing food and drink...it ticks all the boxes! Also forget to mention that there is a huge selection at breakfast! You can choose anything from bacon and eggs to chick curry and dumplings. I hope to return to Marina Bay Sands Hotel soon.","July 8, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
11,"We had an amazing stay at the Marina Bay Sands! Although quite expensive it was well worth it! the most extraordinary hotel I have ever seen or stayed in! the roof top areas are amazing, and its a short walk into the famous marina bay sands botanical gardens and flower dome. ","July 7, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
12,"After staying 5 cities in Europe last month , finally great hospitality hotel. From check in to check out , felt like a king. Amazing room product and service quality despite high occupancy. Staff service is exemplary to most of the European hotels. Thanks for making us happy and taking care of us. The dinner in Spango was amazing ...","July 7, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
13,"We are staying in 40th Floor, it’s just amazing hotel with harbour view. The check in was an outstanding and rooms are very clean and comfortable. We relaxed in the infinity pool in level 57 and it’s a great experience.","July 7, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
14,"We arrived with lost luggage (lost in Rome) and the Concierge staff put that as a priority to assist tracking down our luggage and get it to the Hotel. Even the House Keeping staff assisted by providing additional toiletries which was greatly appreciated. The staff (Concierge Desk, Check In, House Keeping and the Supervisor Guest Services) were all outstanding in their care and assistance.A beautiful place to stay. Even during our short time of difficulty, we were treated with respect & dignity.Breakfast is a feast unto itself. The staff in the restaurant were like a well oiled machine, swift and very efficient. Watching the cooks, they also took great pride in their work and the presentation of the food.We loved our time here and would highly recommend the Marina Bay Sands to anybody.Would we return to the Marina Bay Sand? That would be a YES!!!","July 7, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
15,We stayed at Marina Bay sands and were treated to the executive suites for 3 nights. The apartment is absolutely amazing. This hotel has everything you need and made out stay in singapore probably the most memorable business trip ever. We continue to stay at Marina Bay Sands whenever we are in singapore. Thoroughly recommended - thank you,"July 6, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
16,"Breathless and stunning. This place will wow you. Views are priceless and service is impeccable. Bucket list experience. Casino is ok but not comparable to Vegas, however the mall entering it is fun and very posh. Good hotel to experience. ","July 5, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
17,"Incredible location, building and activities available. Pleasant and efficient check in/out even with seeming high volume. Views from both the room and the pool deck are amazing. Staff was attentive and willingly accommodating. Glad we spent the night for the experience and the access to all it has to offer, but a bit pricey for our liking for an extended stay.","July 4, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
18,"This is absolutely the best choice for everyone in Singapore. You can do so much inside this property. You have the mall, which is the biggest and the nicest in Singapore. Plus, the gardens are just behind the hotel, the infamous infinity pool and the science museum which is filled with so many nice exhibitions and galleries. In addition, the theater is also adjacent to the hotel which is usually home to a lot of great shows. This is the second stay for me in MBS and this time, I got a family room which was just PERFECT. We all loved it. The staff and service of the hotel are just amazing. I really loved it and will always stay here when I go to Singapore. ","July 4, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
19,This hotel has everything a traveller could want .... and more. Service as you would expect is great. I found the sky bar outrageously expensive and somewhat pretentious. That said it’s still a really great place ,"July 4, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
20,We enjoyed our overnight stay in this hotel. We were even upgraded to 26th flr. Mr. Lee Yew Kee the Captain of Transportation is very helpful in arranging for our itinerary in the remaining hours of our stay in Singapore. He has good practical suggestions. We will soon stay here in our next visit.,"July 3, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
21,"This was the highlight of our trip to Singapore in the Fall of 2018! The hotel is gorgeous. At the top, which is in the shape of a ship, there is an infinity pool that is an amazing sight. The restaurant there is excellent! If you go at ngiht, there is a light show in the bay that was spectacular. Since the weather is hot, the things to see are at night. Nearly all the buildings nearby participate in a show of lights. Unforgettable!","July 3, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
22,"Special thanks to check-in staff - Leila, arrange us a complimentary birthday macaroon. with also Concierge team to collect my pie ordering from outside hotel. Room arrangement staff - Yuan Jian detailed to prepare much enough bottled water in room for us. Nice and comfortable hotel, the room view really nice with Garden bay the bay. There's a free mini cone ice-cream while our check-in.Infinity pool pls go early morning, we went there at 6am, its almost full of guest ""check-in"" photo at there. Location connect with MTR - Bayfront station. easy and convenience. Definitely will come back again.","July 3, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
23,"Free bus tour from Changi terminal one,get there early and book your seat tour fills up quick there are 3 tours during the day,visit Marina bay and Singapore city two stops so you can get out and take photos.The last tour from Changi visits gardens by the bay late afternoon early evening good photo opportunity when the gardens lights are on..","July 2, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
24,A very large Hotel with great view from room and swimming pool. Good cleanliness and luxury facilities area. Overall is good but just wait too long upon check in time. Recommend for couple who like to spend your time at the Hotel.,"July 2, 2019","0    Marina Bay Sands
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
